P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P
P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P
P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P
P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P
P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P
P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P
P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P
P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P
P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P
P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P
P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P
P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P
P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P
P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P
P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;K;;;P
P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P
P;P;P;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;P
P;P;E;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;P
P;P;E;;;;;;;;;;;;;;;;;;;P;P;P;P;;;;;B;;;;;;;;;;;;;;P
P;P;P;P;P;P;P;P;P;P;;;;;;;;;;;;P;P;P;P;P;P;;;B;;;;;;;;;;;;;;P
P;;;;;;;;;B;;;;;;;;;;P;P;P;P;P;P;P;P;P;;B;;;;;;;;;;;;;;P
P;;;;;;;;;B;;;;;;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;;;;;;;;;;;;;P
P;;;;;;;;;B;;;;;;;;;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;;;;;;;;;P
P;;;;;;;;;B;;;;;;;;;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P
P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P
